dataset,model,n_regimes_requested,n_regimes_final,lag,lambda_sparse,seed,regime,total_edges,inst_edges,inst_avg_weight,regime_collapsed,lag1_edges,lag1_avg_weight,lag2_edges,lag2_avg_weight,lag3_edges,lag3_avg_weight
FR,fantom,2,1,3,50.0,42,0,375,0,0.0,True,174,1.0,124.0,1.0,77.0,1.0
FR,fantom,2,1,2,50.0,42,0,317,0,0.0,True,213,1.0,104.0,1.0,,
FR,fantom,2,1,3,10.0,42,0,999,0,0.0,True,390,1.0,359.0,1.0,250.0,1.0
FR,fantom,3,1,3,50.0,42,0,326,0,0.0,True,146,1.0,113.0,1.0,67.0,1.0
FR,fantom,2,1,1,5.0,456,0,1593,0,0.0,True,1593,1.0,,,,
FR,fantom,2,1,3,1.0,42,0,6132,0,0.0,True,1823,1.0,2177.0,1.0,2132.0,1.0
FR,fantom,2,1,1,5.0,123,0,1346,0,0.0,True,1346,1.0,,,,
FR,fantom,2,1,3,5.0,42,0,2635,0,0.0,True,779,1.0,918.0,1.0,938.0,1.0
DE_FR,fantom,2,1,1,50.0,42,0,129,1,1.0,True,128,1.0,,,,
DE_FR,fantom,2,1,1,5.0,123,0,297,1,1.0,True,296,1.0,,,,
DE_FR,fantom,2,1,2,5.0,789,0,493,0,0.0,True,278,1.0,215.0,1.0,,
DE_FR,fantom,2,1,1,5.0,789,0,293,0,0.0,True,293,1.0,,,,
DE_FR,fantom,2,1,2,5.0,123,0,495,1,1.0,True,260,1.0,234.0,1.0,,
DE_FR,fantom,2,1,2,5.0,456,0,457,0,0.0,True,236,1.0,221.0,1.0,,
DE_FR,fantom,2,1,1,5.0,456,0,307,1,1.0,True,306,1.0,,,,
DE_FR,fantom,2,1,1,10.0,42,0,243,1,1.0,True,242,1.0,,,,
DE,fantom,2,1,3,50.0,42,0,356,0,0.0,True,157,1.0,97.0,1.0,102.0,1.0
DE,fantom,2,1,1,50.0,42,0,247,0,0.0,True,247,1.0,,,,
DE,fantom,3,1,1,5.0,456,0,1720,0,0.0,True,1720,1.0,,,,
FR,fantom,2,1,1,50.0,42,0,275,0,0.0,True,275,1.0,,,,
DE,fantom,2,1,2,50.0,42,0,286,0,0.0,True,164,1.0,122.0,1.0,,
DE_FR,fantom,3,1,1,1.0,42,0,396,0,0.0,True,396,1.0,,,,
DE_FR,fantom,2,1,1,1.0,42,0,391,0,0.0,True,391,1.0,,,,
DE_FR,fantom,2,1,1,5.0,42,0,296,1,1.0,True,295,1.0,,,,
DE_FR,fantom,2,1,3,50.0,42,0,161,1,1.0,True,90,1.0,47.0,1.0,23.0,1.0
DE,fantom,3,1,2,10.0,42,0,934,0,0.0,True,451,1.0,483.0,1.0,,
DE_FR,fantom,2,1,2,50.0,42,0,158,1,1.0,True,101,1.0,56.0,1.0,,
DE,fantom,3,1,2,50.0,42,0,303,0,0.0,True,177,1.0,126.0,1.0,,
DE,fantom,2,1,2,10.0,42,0,800,0,0.0,True,364,1.0,436.0,1.0,,
DE,fantom,3,1,3,50.0,42,0,145,33,1.0,True,57,1.0,36.0,1.0,19.0,1.0
FR,fantom,3,1,2,50.0,42,0,371,0,0.0,True,210,1.0,161.0,1.0,,
DE,fantom,3,1,1,50.0,42,0,253,0,0.0,True,253,1.0,,,,
FR,fantom,2,1,2,10.0,42,0,1429,0,0.0,True,650,1.0,779.0,1.0,,
FR,fantom,3,1,1,50.0,42,0,219,0,0.0,True,219,1.0,,,,
DE_FR,fantom,3,1,2,50.0,42,0,163,1,1.0,True,102,1.0,60.0,1.0,,
DE_FR,fantom,2,1,2,10.0,42,0,366,1,1.0,True,195,1.0,170.0,1.0,,
DE_FR,fantom,3,1,3,50.0,42,0,180,1,1.0,True,92,1.0,53.0,1.0,34.0,1.0
DE_FR,fantom,3,1,1,50.0,42,0,120,1,1.0,True,119,1.0,,,,
DE_FR,fantom,4,1,2,5.0,42,0,477,1,1.0,True,240,1.0,236.0,1.0,,
DE,fantom,2,1,1,5.0,456,0,1262,0,0.0,True,1262,1.0,,,,
DE,fantom,2,1,3,1.0,42,0,6312,0,0.0,True,2024,1.0,2094.0,1.0,2194.0,1.0
DE,fantom,2,1,2,5.0,123,0,2230,0,0.0,True,1092,1.0,1138.0,1.0,,
DE,fantom,2,1,2,5.0,42,0,1754,0,0.0,True,807,1.0,947.0,1.0,,
DE,fantom,2,1,2,5.0,789,0,1954,0,0.0,True,924,1.0,1030.0,1.0,,
DE,fantom,2,1,3,5.0,42,0,2098,0,0.0,True,767,1.0,618.0,1.0,713.0,1.0
DE,fantom,2,1,1,5.0,789,0,1265,0,0.0,True,1265,1.0,,,,
DE,fantom,2,1,1,5.0,123,0,1166,0,0.0,True,1166,1.0,,,,
DE,fantom,2,1,3,10.0,42,0,881,0,0.0,True,358,1.0,267.0,1.0,256.0,1.0
DE,fantom,2,1,2,5.0,456,0,1658,0,0.0,True,859,1.0,799.0,1.0,,
DE,fantom,2,1,1,10.0,42,0,596,0,0.0,True,596,1.0,,,,
FR,fantom,2,1,1,1.0,42,0,2255,0,0.0,True,2255,1.0,,,,
FR,fantom,2,1,2,5.0,42,0,1405,0,0.0,True,757,1.0,648.0,1.0,,
FR,fantom,2,1,2,1.0,42,0,4379,0,0.0,True,1938,1.0,2441.0,1.0,,
FR,fantom,2,1,1,10.0,42,0,1092,0,0.0,True,1092,1.0,,,,
FR,fantom,2,1,1,5.0,42,0,1434,0,0.0,True,1434,1.0,,,,
DE,fantom,2,1,1,5.0,42,0,1945,0,0.0,True,1945,1.0,,,,
DE,fantom,2,1,2,1.0,42,0,4807,0,0.0,True,2331,1.0,2476.0,1.0,,
FR,fantom,2,1,2,5.0,456,0,2123,0,0.0,True,991,1.0,1132.0,1.0,,
DE_FR,fantom,2,1,2,1.0,42,0,715,1,1.0,True,348,1.0,366.0,1.0,,
FR,fantom,2,1,2,5.0,123,0,2403,0,0.0,True,1131,1.0,1272.0,1.0,,
DE_FR,fantom,2,1,2,5.0,42,0,484,0,0.0,True,256,1.0,228.0,1.0,,
DE_FR,fantom,2,1,3,5.0,42,0,577,0,0.0,True,217,1.0,212.0,1.0,148.0,1.0
DE_FR,fantom,2,1,3,10.0,42,0,401,1,1.0,True,168,1.0,149.0,1.0,83.0,1.0
DE_FR,fantom,2,1,3,1.0,42,0,1011,0,0.0,True,335,1.0,365.0,1.0,311.0,1.0
FR,fantom,2,1,2,5.0,789,0,1498,0,0.0,True,762,1.0,736.0,1.0,,
DE,fantom,4,2,2,50.0,42,0,16,3,1.0,True,7,1.0,6.0,1.0,,
DE,fantom,4,2,2,50.0,42,1,1,0,0.0,True,0,0.0,1.0,1.0,,
FR,fantom,2,1,1,5.0,789,0,1334,0,0.0,True,1334,1.0,,,,
DE,fantom,2,1,1,1.0,42,0,2465,0,0.0,True,2465,1.0,,,,
FR,fantom,4,1,3,50.0,42,0,385,0,0.0,True,197,1.0,107.0,1.0,81.0,1.0
DE,fantom,4,1,3,5.0,42,0,359,34,1.0,True,110,1.0,118.0,1.0,97.0,1.0
DE,fantom,4,1,3,10.0,42,0,259,33,1.0,True,82,1.0,75.0,1.0,69.0,1.0
DE_FR,fantom,4,1,3,50.0,42,0,170,0,0.0,True,85,1.0,55.0,1.0,30.0,1.0
DE,fantom,4,1,3,1.0,42,0,546,34,1.0,True,170,1.0,168.0,1.0,174.0,1.0
FR,fantom,3,1,1,1.0,42,0,2495,0,0.0,True,2495,1.0,,,,
DE,fantom,3,1,1,1.0,42,0,3142,0,0.0,True,3142,1.0,,,,
DE,fantom,3,1,1,5.0,42,0,1238,0,0.0,True,1238,1.0,,,,
DE,fantom,3,1,3,10.0,42,0,305,34,1.0,True,97,1.0,95.0,1.0,79.0,1.0
FR,fantom,3,1,2,5.0,42,0,2512,0,0.0,True,1241,1.0,1271.0,1.0,,
DE,fantom,3,1,2,1.0,42,0,405,33,1.0,True,179,1.0,193.0,1.0,,
DE,fantom,3,1,1,5.0,789,0,1135,0,0.0,True,1135,1.0,,,,
FR,fantom,3,1,2,10.0,42,0,943,0,0.0,True,538,1.0,405.0,1.0,,
FR,fantom,3,1,3,10.0,42,0,1529,0,0.0,True,497,1.0,532.0,1.0,500.0,1.0
DE,fantom,3,1,1,10.0,42,0,772,0,0.0,True,772,1.0,,,,
DE,fantom,3,1,3,5.0,42,0,379,30,1.0,True,116,1.0,127.0,1.0,106.0,1.0
FR,fantom,3,1,1,5.0,123,0,1492,0,0.0,True,1492,1.0,,,,
FR,fantom,3,1,1,10.0,42,0,491,0,0.0,True,491,1.0,,,,
FR,fantom,3,1,1,5.0,42,0,1560,0,0.0,True,1560,1.0,,,,
DE,fantom,3,1,2,5.0,42,0,1666,0,0.0,True,835,1.0,831.0,1.0,,
FR,fantom,3,1,3,5.0,42,0,293,48,1.0,True,83,1.0,92.0,1.0,70.0,1.0
FR,fantom,3,1,3,1.0,42,0,6498,0,0.0,True,1921,1.0,2287.0,1.0,2290.0,1.0
FR,fantom,3,1,1,5.0,789,0,1662,0,0.0,True,1662,1.0,,,,
FR,fantom,3,1,2,1.0,42,0,4279,0,0.0,True,1896,1.0,2383.0,1.0,,
FR,fantom,4,1,3,10.0,42,0,1085,0,0.0,True,423,1.0,369.0,1.0,293.0,1.0
DE_FR,fantom,3,1,1,5.0,456,0,300,0,0.0,True,300,1.0,,,,
DE,fantom,3,1,1,5.0,123,0,1362,0,0.0,True,1362,1.0,,,,
DE_FR,fantom,3,1,3,1.0,42,0,1024,1,1.0,True,342,1.0,376.0,1.0,305.0,1.0
FR,fantom,4,1,3,5.0,42,0,2688,0,0.0,True,863,1.0,784.0,1.0,1041.0,1.0
DE_FR,fantom,3,1,2,5.0,42,0,476,0,0.0,True,254,1.0,222.0,1.0,,
DE_FR,fantom,3,1,2,1.0,42,0,707,1,1.0,True,352,1.0,354.0,1.0,,
DE_FR,fantom,3,1,1,5.0,123,0,292,1,1.0,True,291,1.0,,,,
DE_FR,fantom,3,1,3,10.0,42,0,411,0,0.0,True,187,1.0,136.0,1.0,88.0,1.0
DE_FR,fantom,3,1,1,10.0,42,0,228,1,1.0,True,227,1.0,,,,
DE_FR,fantom,3,1,1,5.0,789,0,296,1,1.0,True,295,1.0,,,,
DE,fantom,4,1,2,10.0,42,0,252,33,1.0,True,104,1.0,115.0,1.0,,
DE_FR,fantom,3,1,3,5.0,42,0,592,0,0.0,True,199,1.0,220.0,1.0,173.0,1.0
DE_FR,fantom,3,1,2,10.0,42,0,350,1,1.0,True,179,1.0,170.0,1.0,,
DE,fantom,4,1,2,5.0,42,0,1208,0,0.0,True,589,1.0,619.0,1.0,,
DE,fantom,4,1,2,1.0,42,0,394,28,1.0,True,176,1.0,190.0,1.0,,
DE_FR,fantom,3,1,1,5.0,42,0,306,1,1.0,True,305,1.0,,,,
DE,fantom,4,1,1,1.0,42,0,239,29,1.0,True,210,1.0,,,,
DE,fantom,4,4,1,10.0,42,0,104,24,1.0,False,80,1.0,,,,
DE,fantom,4,4,1,10.0,42,1,89,21,1.0,False,68,1.0,,,,
DE,fantom,4,4,1,10.0,42,2,90,21,1.0,False,69,1.0,,,,
DE,fantom,4,4,1,10.0,42,3,103,27,1.0,False,76,1.0,,,,
FR,fantom,4,1,1,5.0,42,0,1749,0,0.0,True,1749,1.0,,,,
DE,fantom,4,1,1,5.0,42,0,202,30,1.0,True,172,1.0,,,,
FR,fantom,4,1,2,1.0,42,0,3252,0,0.0,True,1619,1.0,1633.0,1.0,,
FR,fantom,4,1,2,5.0,42,0,1306,0,0.0,True,757,1.0,549.0,1.0,,
FR,fantom,4,1,1,10.0,42,0,931,0,0.0,True,931,1.0,,,,
FR,fantom,4,1,3,1.0,42,0,7645,0,0.0,True,2235,1.0,2909.0,1.0,2501.0,1.0
FR,fantom,4,1,2,10.0,42,0,780,0,0.0,True,441,1.0,339.0,1.0,,
FR,fantom,4,1,1,1.0,42,0,181,55,1.0,True,126,1.0,,,,
DE_FR,fantom,4,1,3,10.0,42,0,426,1,1.0,True,166,1.0,153.0,1.0,106.0,1.0
DE_FR,fantom,4,1,1,1.0,42,0,392,1,1.0,True,391,1.0,,,,
DE_FR,fantom,4,1,1,5.0,42,0,318,1,1.0,True,317,1.0,,,,
DE_FR,fantom,4,1,2,10.0,42,0,334,0,0.0,True,181,1.0,153.0,1.0,,
DE_FR,fantom,4,1,3,5.0,42,0,590,1,1.0,True,224,1.0,220.0,1.0,145.0,1.0
DE_FR,fantom,4,1,3,1.0,42,0,1044,1,1.0,True,348,1.0,361.0,1.0,334.0,1.0
DE_FR,fantom,4,1,2,1.0,42,0,709,1,1.0,True,330,1.0,378.0,1.0,,
DE,fantom,4,1,1,50.0,42,0,221,0,0.0,True,221,1.0,,,,
FR,fantom,4,1,2,50.0,42,0,304,0,0.0,True,179,1.0,125.0,1.0,,
DE,fantom,3,1,3,1.0,42,0,6905,0,0.0,True,2246,1.0,2307.0,1.0,2352.0,1.0
FR,fantom,4,1,1,50.0,42,0,289,0,0.0,True,289,1.0,,,,
FR,fantom,3,1,1,5.0,456,0,727,0,0.0,True,727,1.0,,,,
DE_FR,fantom,4,1,1,50.0,42,0,130,0,0.0,True,130,1.0,,,,
DE_FR,fantom,4,1,1,10.0,42,0,253,0,0.0,True,253,1.0,,,,
DE_FR,fantom,4,1,2,50.0,42,0,154,1,1.0,True,97,1.0,56.0,1.0,,
DE,ds3m_causal,3,1,1,15.0,42,0,946,462,5.3002395361545496e-06,True,484,1.7122304996064486e-07,,,,
FR,ds3m_causal,3,2,1,5.0,42,0,561,272,0.0002004942507483065,True,289,3.492505129543133e-06,,,,
FR,ds3m_causal,3,2,1,5.0,42,1,561,272,0.00014051828475203365,True,289,5.640442395815626e-06,,,,
DE_FR,ds3m_causal,2,1,1,10.0,42,0,1891,930,6.2065068959782366e-06,True,961,4.577927370519319e-08,,,,
FR,ds3m_causal,3,2,1,10.0,42,0,561,272,8.927338785724714e-05,True,289,3.465133886493277e-06,,,,
FR,ds3m_causal,3,2,1,10.0,42,1,561,272,6.19360725977458e-05,True,289,2.3364923436020035e-06,,,,
DE_FR,ds3m_causal,3,1,1,15.0,42,0,1891,930,2.329423659830354e-05,True,961,2.8251861294847913e-07,,,,
DE_FR,ds3m_causal,3,1,1,5.0,42,0,1891,930,8.917081868276e-05,True,961,2.8401123586263566e-07,,,,
FR,ds3m_causal,3,2,1,15.0,42,0,561,272,5.698038876289502e-05,True,289,3.4616293760336703e-06,,,,
FR,ds3m_causal,3,2,1,15.0,42,1,561,272,3.932209801860154e-05,True,289,2.3399186375172576e-06,,,,
FR,ds3m_causal,2,1,1,5.0,42,0,561,272,1.747443457134068e-05,True,289,2.932317784143379e-07,,,,
FR,ds3m_causal,2,1,1,10.0,42,0,561,272,7.923174962343182e-06,True,289,2.956608398108074e-07,,,,
DE,ds3m_causal,2,1,1,5.0,42,0,946,462,2.0504618078120984e-05,True,484,4.638540758605814e-06,,,,
FR,ds3m_causal,2,1,1,15.0,42,0,561,272,5.1186707423767075e-06,True,289,2.9967785053486296e-07,,,,
DE,ds3m_causal,3,1,1,10.0,42,0,946,462,8.257435183622874e-06,True,484,1.7550385678077873e-07,,,,
DE_FR,ds3m_causal,2,1,1,5.0,42,0,1891,930,1.4238327821658459e-05,True,961,4.3930313609052973e-08,,,,
DE,ds3m_causal,3,1,1,5.0,42,0,946,462,8.048505696933717e-05,True,484,0.0013677547685801983,,,,
DE,ds3m_causal,2,1,1,15.0,42,0,946,462,5.295700248098001e-06,True,484,1.7335464974621573e-07,,,,
DE,ds3m_causal,2,1,1,10.0,42,0,946,462,8.326731403940357e-06,True,484,1.8051864003609808e-07,,,,
DE_FR,ds3m_causal,2,1,1,15.0,42,0,1891,930,3.910341547452845e-06,True,961,4.725459490373396e-08,,,,
DE_FR,ds3m_causal,3,2,1,10.0,42,0,1891,930,3.777952224481851e-05,True,961,2.756947310444957e-07,,,,
DE_FR,ds3m_causal,3,2,1,10.0,42,1,1891,930,5.597110066446476e-05,True,961,4.121651784316782e-07,,,,
DE,fantom,4,1,3,50.0,42,0,153,29,1.0,True,59,1.0,36.0,1.0,29.0,1.0
